Column1;_1;_2;_3;_32;_4;_5;_6;_7;Semester;Høst 2025;Høst 2025_8;Høst 2025_9;Høst 2025_10;Høst 2025_11;Høst 2025_12;Høst 2025_13;Høst 2025_14;Høst 2025_15;Høst 2025_16;Høst 2025_17;Høst 2025_18;Høst 2025_19;Høst 2025_20;Høst 2025_21;Høst 2025_22;Høst 2025_23;Høst 2025_24;Høst 2025_25;Høst 2025_26;Høst 2025_27;Høst 2025_28;Sum høst;_29;Vår 2025;Vår 2025_30;Vår 2025_31;Vår 2025_32;Vår 2025_33;Vår 2025_34;Vår 2025_35;Vår 2025_36;Vår 2025_37;Vår 2025_38;Vår 2025_39;Vår 2025_40;Vår 2025_41;Vår 2025_42;Vår 2025_43;Vår 2025_44;Vår 2025_45;Vår 2025_46;_47;Høst 2024;Høst 2024_48;Høst 2024_49;Høst 2024_50;Høst 2024_51;Høst 2024_52;Høst 2024_53;Høst 2024_54;Høst 2024_55;Høst 2024_56;Høst 2024_57;Høst 2024_58;Høst 2024_59;Høst 2024_60;_61;Bokstav;Tall;_62;_63
;;;;;;;;;Antallet studenter med vurdering i emnet;48;52;45;17;31;22;71;27;19;14;44;42;15;13;18;37;32;29;43;10;19;18;;;5;28;12;9;7;33;5;29;14;20;14;28;67;4;9;9;6;17;;27;1;2;2;27;2;29;69;1;6;1;2;9;2;;A;5;;
;;;;;;;;;Studiepoeng emne;10;10;5;5;5;10;10;5;10;10;5;10;10;10;10;10;5;10;10;5;10;10;;;10;10;10;5;10;5;10;10;10;10;5;10;5;10;10;10;5;10;;10;5;5;10;10;5;10;10;10;10;10;10;10;10;;B;4;;Antall emner
Studieprogram;studentnr;Opptakssnitt (snitt fra bachelorgrad) kjerne eller 180 stp;Studiested for bachelorgrad;;;karakter;Tallkarakter master;;Emnekode;AOS325;AOS337;AOS340;BUS211;BUS234;BUS313;BUS315;BUS316;BUS322;BUS325;BUS328;BUS329;BUS338;BUS340;ECN201;ECN280;ECN320;ECN372;ECN380;INN200;INN354;INN360;;;BUS210;BUS215;BUS220;BUS234;BUS260;BUS311;BUS313;BUS323;BUS325;BUS335;BUS336;BUS340;BUS360;ECN271;ECN280;ECN375;INN351;INN365;;AOS325;BUS180;BUS211;BUS220;BUS313;BUS316;BUS322;BUS335;BUS340;ECN201;ECN215;ECN311;ECN372;INN341;;C;3;;
M-ØA;1;3,32;NMBU;;1;A;5;;;;B;A;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;; ;;B;B;;;;;D;;C;;;;C;;;B;;;;;;;3,47;D;2;;10
M-ØA;2;3,25;NTNU;;2;A;5;;;;;;;;;F; ; ;;E;D;;;;;;;;;;;;;;;;;;B;;B; ;;;;B;;;;;;;;;;;;;E;C;;;;;;;2,23;E;1;;11
M-ØA;3;3,25;Nord universitet;;3;B;4;;;F;B;D;;;C;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;B;;;;;;;;;;;;;;B;; ;;;D;;2,85;F;0;;9
M-ØA;4;3,39;HiØ;;4;B;4;;;;;;;;;E;;;;C;C;;;;;;;;;;;;;;B;;;;;;B;; ;;;B;;;;;;;;;;;;;D;B;;;;;;;3,07;;;;9
M-ØA;5;3,46;OsloMet;;5;B;4;;;;;A;;;;;;;;;;;;;;;;;B;;B;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;B;;;;;;A;4,22;;;;6
M-ØA;6;3,84;HiØ+Høyskolen Kristiania;;6;B;4;;;;;;;;;A;;;;D;B;;;;;;;;;;;;;;;;;;;;C;;;B;;B;;;;;;;;;;;;;D;B;;;;;;;3,54;;;;8
M-ØA;7;4,15;USN;;7;B;4;;;;;;;;;C;;;;A;B;;;;;;;;;;;;;;;;;;A;;B;;;;;B;;;;;;;;;;;;;C;A;;;;;;;4;;;;8
