Studiekode;Studienavn;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;2020;2021;2022;2023;2024;2025;2026;Kolonne1
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;0;;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;0;0;;;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;;;;;0;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;;;;0;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;;;0;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;;0;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;0;;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2020;0;0;;;;;;;
186035;Økonomi og administrasjon, Harstad;UIT;Harstad;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
186035;Økonomi og administrasjon, Harstad;UIT;Harstad;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;;;;;;0;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;39,1;;;;;;39,1;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;38,5;;;;;38,5;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;42,3;;;;42,3;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;35,9;;;35,9;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;41,5;;41,5;;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;40;40;;;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;36;;;;;;36;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;38,5;;;;;38,5;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;42,7;;;;42,7;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;37,7;;;37,7;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;45,5;;45,5;;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2020;45,7;45,7;;;;;;;
186369;Økonomi og administrasjon, Tromsø;UIT;Tromsø;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;40,3;;;;;;;40,3;
186369;Økonomi og administrasjon, Tromsø;UIT;Tromsø;ØKADM;Ordinær kvote;Hovedopptak;2026;38,6;;;;;;;38,6;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;;;;;0;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;;;;0;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;;;0;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;;0;;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;0;;;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;0;0;;;;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;47;;;;;;47;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;50;;;;;50;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;47,6;;;;47,6;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;44;;;44;;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;46,6;;46,6;;;;;;
186468;Økonomi og administrasjon, Alta;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2020;0;0;;;;;;;
186468;Økonomi og administrasjon, Alta;UIT;Alta;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;;;;;;0;
186468;Økonomi og administrasjon, Alta;UIT;Alta;ØKADM;Ordinær kvote;Hovedopptak;2026;45,8;;;;;;;45,8;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;55,3;;;;;;55,3;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;55,2;;;;;55,2;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;55,6;;;;55,6;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;55,4;;;55,4;;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;54,5;;54,5;;;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2020;54,6;54,6;;;;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Ordinær kvote;Hovedopptak;2025;59,9;;;;;;59,9;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Ordinær kvote;Hovedopptak;2024;59,6;;;;;59,6;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Ordinær kvote;Hovedopptak;2023;59,5;;;;59,5;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Ordinær kvote;Hovedopptak;2022;58,9;;;58,9;;;;;
191345;Økonomi og administrasjon - siviløkonom;NHH;;ØKADM;Ordinær kvote;Hovedopptak;2021;58,3;;58,3;;;;;;
