NTNU - Siviløkonom ;;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;16;37;25;0;0;0;78
2024;31;36;32;0;0;0;99
2025;15;61;26;0;0;0;102
;;;;;;;
NHH - Siviløkonom;;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;288;253;26;0;0;0;567
2024;309;270;29;0;0;0;608
2025;420;227;13;0;0;0;660
;;;;;;;
NMBU - Siviløkonom;;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;20;31;16;0;0;0;67
2024;16;27;15;3;0;0;61
2025;25;44;14;0;0;0;83
;;;;;;;
UiT - Siviløkonom ;;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;18;23;4;0;0;0;45
2024;12;10;11;0;0;0;33
2025;7;16;11;0;0;0;34
;;;;;;;
USN - Siviløkonom (AVH5000);;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;10;21;20;13;3;0;67
2024;3;21;27;8;0;0;59
2025;15;12;15;3;0;0;45
;;;;;;;
OsloMet - Siviløkonom (ØAMAS5900);;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;40;32;6;4;0;0;82
2024;27;51;9;0;0;0;87
2025;29;59;0;0;0;0;88
;;;;;;;
UiA - Siviløkonom (BE-501);;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;18;37;6;0;0;3;64
2024;18;10;16;6;0;0;50
2025;24;33;20;3;0;0;80
;;;;;;;
BI - Siviløkonom (GRA 1970 (3));;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;356;256;65;0;0;0;677
2024;309;241;45;0;0;0;595
2025;377;219;44;0;0;0;640
;;;;;;;
Kristiania - Siviløkonom (MOG5100);;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;9;15;19;15;0;0;58
2024;11;19;18;9;0;0;57
2025;9;21;19;3;0;0;52
;;;;;;;
Nord - Siviløkonom (LED5018);;;;;;;
År ;A;B;C;D;E;F;Totalt kandidater
2023;16;26;9;7;0;0;58
2024;19;22;16;0;0;0;57
2025;26;31;17;4;0;0;78
