Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Alle søkere;609;531;700;785;805;659
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Førstevalgssøkere;58;41;68;56;63;48
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Studieplasser;25;25;35;35;35;30
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);41,4 %;46,3 %;38,2 %;26,8 %;22,2 %;33,3 %
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Antall kvalifiserte;584;515;666;748;757;568
Norges miljø- og biovitenskapelige universitet;192 468;Samfunnsøkonomi;Ås;Økonomisk-administrative fag;Antall tilbud;60;56;68;80;102;68
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Alle søkere;1 288;1 105;1 122;1 134;1 170;1 189
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;127;104;103;91;114;164
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Studieplasser;50;50;50;50;50;50
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);28,3 %;33,7 %;41,7 %;46,2 %;36,8 %;40,9 %
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;1 261;1 084;1 097;1 109;1 151;1 169
Norges teknisk-naturvitenskapelige universitet;194 239;Samfunnsøkonomi, årsstudium;Trondheim;Økonomisk-administrative fag;Antall tilbud;140;110;104;112;100;104
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Alle søkere;736;706;776;767;900;944
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;63;42;53;37;48;71
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Studieplasser;25;25;25;25;25;25
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);44,4 %;45,2 %;30,2 %;37,8 %;45,8 %;26,8 %
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;591;592;657;664;774;802
Norges teknisk-naturvitenskapelige universitet;194 818;Samfunnsøkonomi, master;Trondheim;Økonomisk-administrative fag;Antall tilbud;74;74;54;68;100;100
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Alle søkere;1 971;1 879;2 104;1 963;2 191;2 369
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere;287;231;245;232;258;279
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Studieplasser;100;100;100;100;100;100
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);36,2 %;39,4 %;35,9 %;36,6 %;36,8 %;34,8 %
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Antall kvalifiserte;1 925;1 843;2 051;1 927;2 140;2 318
Norges teknisk-naturvitenskapelige universitet;194 898;Samfunnsøkonomi, bachelor;Trondheim;Økonomisk-administrative fag;Antall tilbud;220;200;200;200;200;200
