Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn;År;Periode;Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Finansregnskap;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6084;Finansregnskap;2023;helår (vår+høst slått sammen);48;A-F;2.65;12.5;7;10;12;3;10;6;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Finansregnskap;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6084;Finansregnskap;2024;helår (vår+høst slått sammen);71;A-F;2.59;11.3;4;16;19;19;5;8;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Finansregnskap;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6084;Finansregnskap;2025;helår (vår+høst slått sammen);99;A-F;2.67;14.1;13;18;27;19;8;14;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Økonomistyring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6002;Økonomistyring;2023;helår (vår+høst slått sammen);49;A-F;2.78;8.2;8;10;13;3;11;4;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Økonomistyring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6002;Økonomistyring;2024;helår (vår+høst slått sammen);77;A-F;2.14;24.7;10;5;20;12;11;19;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Økonomistyring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6002;Økonomistyring;2025;helår (vår+høst slått sammen);98;A-F;2.54;13.3;9;15;30;23;8;13;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Investering og finansiering;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6004;Investering og finansiering;2023;helår (vår+høst slått sammen);64;A-F;2.77;25.0;19;8;11;7;3;16;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Investering og finansiering;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6004;Investering og finansiering;2024;helår (vår+høst slått sammen);80;A-F;3.14;7.5;18;23;12;12;9;6;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Investering og finansiering;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6004;Investering og finansiering;2025;helår (vår+høst slått sammen);115;A-F;2.44;22.6;21;19;17;17;15;26;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Markedsføring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6340;Markedsføring;2023;helår (vår+høst slått sammen);185;A-F;3.17;0.0;9;53;87;33;3;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Markedsføring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6340;Markedsføring;2024;helår (vår+høst slått sammen);129;A-F;3.19;0.0;10;36;55;25;3;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Markedsføring;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6340;Markedsføring;2025;helår (vår+høst slått sammen);122;A-F;3.51;0.0;13;40;65;4;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6336;Organisasjon og ledelse;2023;helår (vår+høst slått sammen);297;A-F;3.47;1.0;41;118;87;44;4;3;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6336;Organisasjon og ledelse;2024;helår (vår+høst slått sammen);305;A-F;3.31;1.0;33;94;130;33;12;3;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Organisasjon og ledelse;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6336;Organisasjon og ledelse;2025;helår (vår+høst slått sammen);235;A-F;3.51;0.0;32;92;77;31;3;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
Foretaksstrategi;Kristiania;Høyskolen Kristiania (nettstudier, enkeltemne);6347;Innføring i strategi;2023;helår (vår+høst slått sammen);112;A-F;3.38;0.0;15;33;43;21;0;0;;;Emnet har rullerende opptak (vår og høst hvert år er begge ordinære, sammenlignbare kull - ikke hovedgjennomføring/kontinuasjonseksamen). Vår og høst er derfor slått sammen til ett årstall per rad.
