Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F
SFB10419;Finansregnskap med analyse 1;H 2025;151;17;28;40;23;17;26
SFB10613;Budsjettering og driftsregnskap;H 2025;157;3;11;30;18;29;66
SFB11016;Investering og finansiering;V 2025;103;9;23;21;13;20;17
SFB10519;Markedsføring;H 2025;146;44;35;41;20;6;0
SFB10120;Organisasjonsteori;V 2025;175;11;51;86;20;7;0
ØKA121;Bærekraft og foretaksstrategi;H 2025;148;3;27;37;37;27;17
SFB10916;Makroøkonomi;V 2025;174;11;22;28;34;37;42
SFB10916;Makroøkonomi;V 2025;174;11;22;28;34;37;42
ØKA101;Matematikk for økonomer;H 2025;165;17;31;36;35;5;41
ØKA120;Statistikk og samfunnsvitenskapelig metode;H 2025;164;4;21;27;28;17;67
ØKA120;Statistikk og samfunnsvitenskapelig metode;H 2025;164;4;21;27;28;17;67
