Høyskolen i Østfold;;;;;;;;;;;Handelshøyskolen NMBU;;;;;;;;;;;BI;;;;;;;;;;;NTNU;;;;;;;;;;;OsloMET;;;;;;;;;;;UiA;;;;;;;;;;;NHH;;;;;;;;;;;USN;;;;;;;;;;;UIT;;;;;;;;;;;Kristiania;;;;;;;;;;;NLA;;;;;;;;;;;UiS;;;;;;;;;
Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F
HSM124;Finansregnskap og regnskapsanalyse;V 2025;398;10;29;63;41;54;201;;BUS110;Finansregnskap og regnskapsanalyse;V 2025;244;14;28;61;60;35;46;;BØK 3532 (5);Finansregnsk. & regnsk.analyse;H 2025;1 729;67;224;480;314;302;342;;BØA1200;Finansregnskap med analyse;V 2025;345;94;80;60;40;43;28;;ØABED1000;Grunnleggende årsregnskap med Excel;H 2025;404;46;36;107;53;46;116;;BE-111;Innføring i finansregnskap;H 2025;357;60;80;84;50;43;40;;BED2;Finansregnskap;H 2025;404;67;107;116;53;31;30;;REG1010;Finansregnskap med analyse;H 2025;145;0;12;11;23;43;56;;BED-1002;Grunnleggende regnskap og analyse;V 2025;206;28;29;56;28;28;37;;FRG3101;Finansregnskap;V 2025;121;6;11;19;26;27;32;;HSM124;Finansregnskap og regnskapsanalyse;V 2025;398;10;29;63;41;54;201;;BØK195;Grunnleggende regnskap og bedriftsøkonomi;H 2025;244;20;81;74;44;20;5
HSM122;Innføring i bedriftsøkonomi;H 2025;429;45;75;72;78;70;89;;BUS210;Økonomi- og virksomhetsstyring;V 2025;181;23;27;42;40;20;29;;BØK 3430 (1);Innføring i bed.øk. & finans;H 2025;3 190;462;603;597;389;370;769;;BØA2100;Driftsregnskap med budsjettering;H 2025;309;78;70;69;60;19;13;;ØABED2100;Økonomistyring;V 2025;319;27;47;66;49;41;89;;BE-110;Innføring i økonomisk styring;V 2025;346;57;56;71;45;55;62;;BED5;Økonomisk styring;V 2025;425;130;150;100;21;18;6;;BØK2000;Driftsregnskap og budsjettering;V 2025;310;30;32;89;48;32;79;;BED-1502;Bedriftsøkonomisk analyse;H 2025;328;49;73;80;53;39;34;;OKS1101;Økonomistyring;H 2025;80;4;6;14;16;18;22;;HSM122;Innføring i bedriftsøkonomi;H 2025;429;45;75;72;78;70;89;;BØK301;Driftsregnskap og økonomistyring;V 2025;229;37;50;49;44;30;19
ØKAD221;Investering og finansiering;H 2025;166;13;19;21;15;27;71;;BUS220;Finansiering og investering;H 2025;201;53;45;37;18;13;35;;BØK 3423 (3);Finans;V 2025;3 083;256;360;626;566;670;605;;BØA2200;Investering og finansiering;V 2025;313;48;51;67;49;49;49;;ØABED2000;Investering og finansiering;H 2025;277;72;71;45;20;18;51;;BE-210;Investering og finansiering;V 2025;194;15;30;60;35;25;29;;BED3;Investering og finans;V 2025;377;48;135;102;48;30;14;;FIN2000;Finansiering og investering;H 2025;412;36;48;57;62;68;141;;BED-2303;Investering og finansiering;H 2025;147;47;61;28;8;3;0;;IOJ3100;Investering og finansiering;H 2025;69;4;8;6;8;9;34;;ØKAD221;Investering og finansiering;H 2025;166;13;19;21;15;27;71;;BØK260;Corporate Finance;H 2025;213;29;67;52;25;17;23
HSM222;Innføring i markedsføring, etikk og bærekraft;V 2025;157;68;37;43;9;0;0;;AOS120 (AOS120-1);Markedsføring;V 2025;147;8;39;55;36;9;0;;MRK 3580 (1);Markedsføringsled. og strategi;H 2025;1 531;113;137;222;263;254;542;;MRK1001;Markedsføring - grunnkurs;H 2025;363;14;66;154;82;34;13;;ØAADM1001;Markedsføring;H 2025;367;11;105;207;37;4;3;;MF-102;Markedsføring;V 2025;354;30;58;122;75;50;19;;SOL2;Markedsføring;H 2025;441;54;271;108;8;0;0;;MAR1000;Markedsføringsledelse;H 2025;724;36;79;196;237;107;69;;BED-1303;Markedsføring;H 2025;204;15;40;56;61;21;11;;MFØ1200;Markedsføring;H 2025;166;4;13;36;46;42;25;;HSM222;Innføring i markedsføring, etikk og bærekraft;V 2025;157;68;37;43;9;0;0;;BØK250;Markedsføring;H 2024;209;6;73;119;11;0;0
HSM121;Innføring i organisasjon, ledelse og etikk;H 2025;370;53;178;117;17;5;0;;AOS130;Innføring i organisasjonsteori;V 2025;150;18;51;46;24;5;6;;ORG 3403 (1);Organisasjonsatferd og ledelse;H 2025;3 290;42;196;588;1 196;818;450;;ORG1100;Organisasjon og ledelse;H 2025;331;44;77;135;60;12;3;;ØAADM2100;Organisasjonsforståelse;H 2025;301;34;84;134;41;4;4;;ORG109;Organisasjonsteori;H 2025;353;16;82;158;74;16;7;;SOL3;Organisasjonen;H 2025;399;100;186;89;21;3;0;;ORL1000;Organisering og ledelse;V 2025;739;19;75;210;207;125;103;;BED-2302;Organisasjonsteori og ledelse;H 2025;180;13;29;40;34;32;32;;OOL1101;Organisasjon og ledelse;V 2025;209;33;100;59;17;0;0;;HSM121;Innføring i organisasjon, ledelse og etikk;H 2025;370;53;178;117;17;5;0;;BØK415;Ledelse og organisasjonspsykologi;H 2025;243;27;87;71;43;10;5
HSM221;Strategi, samfunnsansvar og bærekraft;H 2025;250;29;82;106;25;8;0;;AOS237;Foretaksstrategi;H 2025;132;9;46;62;12;0;3;;STR 3610 (1);Doing Sustainable Business;V 2025;121;28;74;19;0;0;0;;ORG2002;Foretaksstrategi;V 2025;309;50;108;119;32;0;0;;ØAADM2000;Foretaksstrategi;V 2025;294;11;69;103;78;23;10;;ORG126;Innovasjon og entreprenørskap;H 2025;372;65;149;113;41;0;4;;SOL4;Strategisk ledelse;V 2025;432;71;246;105;10;0;0;;STR1000;Strategisk ledelse;H 2025;545;92;179;230;44;0;0;;BED-2003;Foretaksstrategi;V 2025;201;7;60;109;17;8;0;;FST3100;Foretaksstrategi;V 2025;46;7;14;18;7;0;0;;HSM221;Strategi, samfunnsansvar og bærekraft;H 2025;250;29;82;106;25;8;0;;BØK235;Strategy;V 2025;157;34;56;40;22;5;0
ØKAD224;Makroøkonomi og bærekraft;V 2025;91;6;11;14;24;12;24;;ECN120;Makroøkonomi I;H 2025;232;66;56;35;25;19;31;;SØK 3420 (1);Samfunnsøkonomi I;H 2025;4 849;381;916;1 032;826;851;843;;SMØ2001;Makroøkonomi I;H 2025;259;57;111;50;21;13;7;;ØASØK1000;Mikroøkonomi I;H 2025;349;44;74;96;56;43;36;;SE-204;Makroøkonomi;V 2025;203;27;50;62;40;8;16;;SAM3;Makroøkonomi;V 2025;469;113;168;115;55;3;15;;SØK1010;Makroøkonomi;V 2025;339;40;48;65;46;57;83;;SOK-1002;Mikroøkonomi: Økonomisk atferd, markeder og priser;V 2025;144;13;15;38;27;28;23;;MAO2100;Makroøkonomi;H 2025;77;6;14;19;18;13;7;;ØKAD224;Makroøkonomi og bærekraft;V 2025;91;6;11;14;24;12;24;;BØK255;Makroøkonomi;H 2025;206;66;55;39;18;9;19
ØKAD223;Mikroøkonomi;V 2025;85;8;4;9;14;18;32;;ECN210;Mikroøkonomi I;V 2025;128;4;14;37;29;27;17;;SØK 3500 (1);Samfunnsøkonomi II;H 2025;2 584;251;394;512;491;349;587;;SMØ1001;Mikroøkonomi;V 2025;301;36;65;88;49;28;35;;ØASØK1100;Makroøkonomi I;V 2025;337;44;72;77;78;25;41;;SE-213;Mikroøkonomi;H 2025;220;28;45;70;53;18;6;;SAM2;Mikroøkonomi;V 2025;422;285;71;36;18;4;8;;SØK1000;Mikroøkonomi;H 2025;457;23;39;98;91;68;138;;SOK-1010;Makroøkonomisk analyse og økonomisk politikk;V 2025;140;10;27;63;18;17;5;;MIO1100;Mikroøkonomi;V 2025;99;16;60;17;6;0;0;;ØKAD223;Mikroøkonomi;V 2025;85;8;4;9;14;18;32;;BØK265;Mikroøkonomi;V 2025;246;17;49;77;49;37;17
ØKAD222;Matematikk for økonomer;H 2025;189;11;15;25;27;39;72;;ECN102;Innføring i matematikk for økonomer;H 2025;215;6;12;16;28;36;117;;MET 2910 (7);Matematikk for økonomer;V 2025;2 618;234;255;293;277;372;1 187;;MET1001;Matematikk for økonomer;H 2025;337;100;71;57;32;29;48;;ØAMET1000;Matematikk I;H 2025;357;85;71;76;35;30;60;;MA-138;Matematikk med anvendelse i økonomi;V 2025;256;46;53;85;23;24;25;;MET1;Matematikk for økonomer;H 2025;414;81;144;103;51;16;19;;MET1000;Matematikk for økonomer;H 2025;607;106;94;93;68;80;166;;BED-1301;Matematikk for økonomer;H 2025;220;21;45;48;25;18;63;;MAT1100;Matematikk for økonomer;H 2025;147;8;14;23;18;19;65;;ØKAD222;Matematikk for økonomer;H 2025;189;11;15;25;27;39;72;;BØK108;Matematisk metode for økonomer;H 2025;271;34;56;59;50;29;43
HSM126;Innføring i statistikk med forskningsmetode;V 2025;278;27;42;98;37;51;23;;STAT100;Statistikk;H 2025;163;28;18;16;22;30;49;;MET 2920 (1);Statistikk for økonomer;V 2025;1 982;220;406;350;337;215;454;;MET1002;Statistikk for økonomer;V 2025;65;23;29;8;0;5;0;;ØAMET1100;Statistikk;V 2025;330;130;88;36;19;15;42;;ME-111;Innføring i dataanalyse;H 2025;220;27;52;61;40;21;19;;MET2;Statistikk for økonomer;V 2025;410;145;156;86;10;8;5;;MET1010;Statistikk for økonomer;V 2025;637;66;106;118;109;80;158;;BED-2065;Statistikk for økonomer;H 2025;112;8;13;37;23;19;12;;SFO1100;Statistikk for økonomer;V 2025;118;0;4;11;9;20;74;;HSM126;Innføring i statistikk med forskningsmetode;V 2025;278;27;42;98;37;51;23;;BØK356;Statistics For Business and Economics;V 2025;235;33;45;64;37;31;25
