NTNU - hovedprofil finansiering og investering;;;;;;;;;;
;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;5;14;5;0;0;24;;;;
2024;8;15;10;0;0;33;;;;
2025;11;14;13;0;0;38;;;;
;;;;;;;;;;
NTNU - hovedprofil økonomistyring (BOKO5000);;;;;;;;;;
;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;3;11;7;0;0;21;;;;
2024;7;12;10;0;0;29;;;;
2025;0;25;5;0;0;30;;;;
;;;;;;;;;;
;;;;;;;;;;
NTNU - hovedprofil Business analytics (BBAN5000);;;;;;;;;;
;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;5;9;4;0;0;18;;;;
2024;10;9;5;0;0;24;;;;
2025;0;13;5;0;0;18;;;;
;;;;;;;;;;
NTNU - hovedprofil strategi, organisasjon og ledelse (BSOL500);;;;;;;;;;
;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;3;3;9;0;0;15;;;;
2024;6;0;7;0;0;13;;;;
2025;4;9;3;0;0;16;;;;
;;;;;;;;;;
;;;;;;;;;;
NTNU - Siviløkonom ;;;;;;;;;;
;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;16;37;25;0;0;78;;;;
2024;31;36;32;0;0;99;;;;
2025;15;61;26;0;0;102;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Business analytics (BANTHE);;;;;;;;Emne i studia ved NHH | NHH;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;0;0;0;0;0;0;; -summert opp for både høst og vår ;;
2024;51;30;0;0;0;81;;;;
2025;33;31;0;0;0;64;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Independent work Major in Economics (ECNTHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;10;11;0;0;0;21;;;;
2024;4;4;0;0;0;8;;;;
2025;13;0;0;0;0;13;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Energy, natural resources and the environment (ENETHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;24;17;0;0;0;41;;;;
2024;25;13;7;0;0;45;;;;
2025;25;24;3;0;0;52;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Finansiell økonomi (FIETHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;149;118;8;0;0;275;;;;
2024;140;114;15;0;0;269;;;;
2025;252;105;4;0;0;361;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Marketing and brand management (MBMTHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;5;7;0;0;0;12;;;;
2024;0;9;0;0;0;9;;;;
2025;3;0;0;0;0;3;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Strategi og ledelse (STRTHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;41;25;9;0;0;75;;;;
2024;41;33;0;0;0;74;;;;
2025;40;25;3;0;0;68;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - hovedprofil Økonomisk styring (BUSTHE);;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;59;75;9;0;0;143;;;;
2024;48;67;7;0;0;122;;;;
2025;54;42;3;0;0;99;;;;
;;;;;;;;;;
;;;;;;;;;;
NHH - Siviløkonom;;;;;;;;;;
År ;A;B;C;D;E;Totalt kandidater;;;;
2023;288;253;26;0;0;567;;;;
2024;309;270;29;0;0;608;;;;
2025;420;227;13;0;0;660;;;;
