ONH - Oslo nye høyskole;;;;;;;;;;;NORD;;;;;;;;;;;HVL (Bergen, Haugesund og Sogndal;;;;;;;;;;;HiMolde;;;;;;;;;;;Innlandet (studiested Rena);;;;;;;;;;;
Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;Bestått;Ikke bestått
ØKAD1220;Finansregnskap;H 2025;37;10;12;5;6;4;0;;FIN1001;Innføring i regnskap;V 2025;205;22;23;34;23;30;73;;BØA117;Finansregnskap med analyse;V 2025;277;43;54;51;34;30;65;;BØK105;Finansregnskap 1;H 2025;233;19;33;43;55;50;33;;3REV100;Grunnleggende regnskap;H 2025;68;10;19;15;6;4;14;;
ØKAD2220;Økonomistyring;H 2025;37;6;10;8;6;7;0;;REG1002;Driftsregnskap og budsjettering;V 2025;118;8;15;23;15;16;41;;BØA205;Økonomistyring;V 2025;275;64;43;67;24;36;41;;BØK205;Økonomistyring og regnskap;V 2025;210;12;26;28;34;53;57;;3REV220;Økonomistyring;H 2025;53;7;5;9;12;8;12;;
ØKAD2230;Corporate Finance;H 2025;22;3;4;4;5;6;0;;FIN1002;Finansiering og investering;H 2025;117;8;21;18;20;18;32;;BØA204;Investering og finansiering;H 2025;297;38;70;58;38;36;57;;BØK300;Finansiell- og økonomisk styring;H 2025;69;9;8;6;7;10;29;;3BED200;Investering og finansiering;V 2025;74;0;4;14;10;18;28;;
ØKAD1140;Markedsføring;H 2025;189;45;55;48;26;15;0;;MAF1001;Markedsføring;H 2025;200;24;56;71;39;3;7;;BØA116;Markedsføring;V 2025;383;8;59;241;62;13;0;;ADM120;Marketing;H 2025;129;34;16;26;16;10;27;;3MAR100;Markedsføring;H 2025;79;3;23;27;16;7;3;;
ØKAD1130;Organisasjon og ledelse;H 2025;239;36;82;76;30;15;0;;ORG1001;Organisasjon;V 2025;155;21;36;45;23;17;13;;BØA112;Organisasjon og ledelse;H 2025;387;28;76;84;83;74;42;;ADM100;Organisasjonsteori og -psykologi;H 2025;224;15;30;55;47;43;34;;3ORG100;Organisasjonsforståelse;H 2025;85;;;;;;;82;3
ØKAD2240;Strategi;H 2025;94;15;28;40;11;0;0;;ORG2001;Internasjonal foretagsstrategi;V 2025;89;18;18;29;14;6;4;;ØAO016;Strategi og virksomhetsutvikling;V 2025;138;20;81;37;0;0;0;;ADM300;Foretaksstrategi;H 2025;120;34;44;28;7;0;7;;3LED300;Strategi;H 2025;95;35;26;20;5;6;3;;
ØKAD2210;Makroøkonomi;H 2025;24;4;9;7;0;4;0;;ECO1003;Samfunnsøkonomi, makro;V 2025;126;4;9;28;25;21;39;;BØA118;Makroøkonomi;V 2025;340;24;48;67;51;61;89;;SØK100;Makroøkonomi;H 2025;65;11;10;14;14;7;9;;3SAM100;Makroøkonomi;V 2025;72;4;8;10;11;18;21;;
ØKAD1230;Mikroøkonomi;H 2025;28;7;6;10;5;0;0;;ECO1001;Samfunnsøkonomi, mikro;H 2025;136;19;9;12;17;24;55;;BØA203;Mikroøkonomi 1;H 2025;284;30;82;67;40;30;35;;SØK200;Mikroøkonomi;V 2025;150;19;16;26;17;33;39;;3SAM120;Mikroøkonomi;V 2025;49;0;0;5;7;9;28;;
ØKAD1120;Matematikk for økonomer;H 2025;140;87;23;9;11;10;0;;MAT1001;Matematikk;H 2025;212;0;24;28;24;3;133;;BØA111;Matematikk for økonomer;H 2025;228;57;33;19;22;27;70;;MAT100;Anvendt matematikk;H 2025;266;38;46;83;31;28;40;;3MET120;Matematikk for økonomer;H 2025;51;4;10;7;5;4;21;;
ØKAD2110;Metode og statistikk;H 2025;93;29;21;17;15;11;0;;STT1001;Statistikk;V 2025;131;6;15;22;19;4;65;;BØA115;Statistikk for økonomer;V 2025;288;39;66;59;38;33;53;;MAT110;Anvendt statistikk;V 2025;261;11;36;158;32;12;12;;2MET130 (SMET130);Statistikk for økonomer;V 2025;123;35;55;15;8;5;5;;
ØKAD2110;Metode og statistikk;H 2025;93;29;21;17;15;11;0;;ECO1003;Samfunnsøkonomi, makro;V 2025;126;4;9;28;25;21;39;;ØMO111;Samfunnsvitenskapelig metode;H 2025;129;7;29;53;27;7;6;;ADM201;Innføring i samfunnsvitenskapelig metode;V 2025;127;20;38;32;8;0;29;;3MET200;Samfunnsvitenskapelig metode;H 2025;88;0;6;43;27;12;0;;
