studiekode,studiekode_oppgitt,studienavn,institusjon,studiested,poeng_ord_2023,poeng_ordf_2023,dbh_snitt_2023,dbh_sokere_2023,poeng_ord_2024,poeng_ordf_2024,dbh_snitt_2024,dbh_sokere_2024,poeng_ord_2025,poeng_ordf_2025,dbh_snitt_2025,dbh_sokere_2025
192369,,Økonomi og administrasjon,Norges miljø- og biovitenskapelige universitet,Ås,47.7,46.3,49.5,293,48.6,45.8,49.6,387,49.5,46.2,48.9,398
194035,,Økonomi og administrasjon,Norges teknisk-naturvitenskapelige universitet,Trondheim,56.1,52.2,50.9,3179,57.0,52.3,51.2,3348,58.2,53.0,52.2,2496
194591,,"Økonomi og ledelse, bachelor",Norges teknisk-naturvitenskapelige universitet,Gjøvik,,,48.0,284,,,52.3,688,41.8,42.1,52.4,737
194515,,"Økonomi, administrasjon og internasjonal business",Norges teknisk-naturvitenskapelige universitet,Ålesund,,,56.2,975,,,56.9,1145,49.1,46.5,46.9,808
215369,,Økonomi og administrasjon,OsloMet - storbyuniversitetet,Oslo,52.8,48.6,49.0,1850,52.2,48.3,48.8,1953,52.7,47.6,48.7,1989
201369,,Økonomi og administrasjon,Universitetet i Agder,Kristiansand,49.0,47.4,48.2,1060,50.0,47.8,48.0,1152,50.0,48.4,48.0,1143
217369,,Økonomi og administrasjon,Universitetet i Stavanger,Stavanger,48.0,46.1,46.4,1003,46.1,45.0,46.8,1042,46.3,44.9,46.2,1087
203369,,"Økonomi og administrasjon, Bergen",Høgskulen på Vestlandet,Bergen,54.4,51.0,48.5,932,54.3,50.9,48.8,1025,55.8,51.7,49.0,1136
203404,,"Økonomi og administrasjon, Haugesund",Høgskulen på Vestlandet,Haugesund,0.0,0.0,44.4,220,0.0,0.0,44.8,266,0.0,0.0,43.7,231
203515,,"Økonomi og administrasjon, Sogndal",Høgskulen på Vestlandet,Sogndal,0.0,0.0,44.7,181,0.0,0.0,44.9,241,0.0,0.0,46.2,219
222330,,"Økonomi og ledelse, Drammen",Universitetet i Sørøst-Norge,Drammen,45.5,41.4,43.5,1751,44.5,40.1,43.9,1796,43.7,40.2,43.5,1839
222097,,"Økonomi og administrasjon, Hønefoss",Universitetet i Sørøst-Norge,Ringerike,,,,,0.0,0.0,,,0.0,0.0,48.9,50
222164,,"Økonomi og administrasjon, Bø",Universitetet i Sørøst-Norge,Midt-Telemark,,,,,0.0,0.0,,,0.0,0.0,48.9,50
222625,,"Økonomi og administrasjon, Kongsberg",Universitetet i Sørøst-Norge,Kongsberg,,,,,,,,,0.0,0.0,48.9,50
209035,,"Økonomi og administrasjon, Lillehammer, bachelor",Universitetet i Innlandet,Lillehammer,40.3,40.5,,,42.4,41.9,,,41.8,41.9,50.3,707
209369,,"Økonomi og administrasjon, Rena, bachelor",Universitetet i Innlandet,Åmot,0.0,0.0,,,0.0,0.0,,,0.0,0.0,47.8,199
186369,,"Økonomi og administrasjon, Tromsø",UiT Norges arktiske universitet,Tromsø,42.7,42.3,48.7,702,38.5,38.5,49.1,951,36.0,39.1,51.0,666
186468,,"Økonomi og administrasjon, Alta",UiT Norges arktiske universitet,Alta,47.6,0.0,48.7,702,50.0,0.0,49.1,951,47.0,0.0,51.0,666
186035,186404,"Økonomi og administrasjon, Harstad",UiT Norges arktiske universitet,Harstad,0.0,0.0,44.7,85,0.0,0.0,45.4,101,0.0,0.0,45.8,106
204342,,"Økonomi og administrasjon, Bodø, bachelor",Nord universitet,Bodø,41.3,33.7,,,0.0,0.0,46.7,265,0.0,0.0,45.3,300
204404,,"Økonomi og administrasjon, Steinkjer, bachelor",Nord universitet,Steinkjer,0.0,0.0,,,0.0,0.0,46.7,265,0.0,0.0,47.6,212
224035,,Økonomi og administrasjon,Høgskolen i Østfold,Halden,37.7,36.8,43.3,315,0.0,0.0,43.3,332,0.0,0.0,43.7,284
211369,207369,Økonomi og administrasjon,"Høgskolen i Molde, Vitenskaplig høgskole i logistikk",Molde,0.0,0.0,44.9,172,0.0,0.0,45.1,195,0.0,0.0,45.2,200
191345,,Økonomi og administrasjon - siviløkonom,Norges Handelshøyskole,Bergen,59.5,55.6,55.7,1863,59.6,55.2,55.2,1995,59.9,55.3,55.1,1940
215345,,Økonomi og administrasjon - siviløkonom,OsloMet - storbyuniversitetet,Oslo,55.2,50.9,49.0,1850,55.8,50.3,48.8,1953,55.2,49.3,48.7,1989
194345,,"Økonomi og administrasjon, siviløkonom",Norges teknisk-naturvitenskapelige universitet,Trondheim,59.1,53.6,56.2,975,60.4,53.9,56.9,1145,61.3,54.3,56.8,1086
201345,,Økonomi og administrasjon - siviløkonom,Universitetet i Agder,Kristiansand,45.6,45.6,48.2,1060,46.0,44.8,48.0,1152,45.9,45.2,48.0,1143
