Emne,Tabell id,Tabellnavn,Gdpr,Bulk tabell,Math,Variabelliste
"Ikke tilordnet emne             ",1,API innhold,0,1,0,"Emne,Tabell id,Tabellnavn,Gdpr,Bulk tabell,Math,Variabelliste"
"Ikke tilordnet emne             ",2,API metadata,0,1,0,"Tabell id,Tabellnavn,Variabel navn,Datatype,Datalengde,Sortering,Kodefelt,Group by (forslag),Kommentar,GDPR"
Studentdata,60,Studenter fordelt på alder,1,0,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Studieprogramkode,Alder,Antall totalt,Antall kvinner,Antall menn,-------------,Variabler fra studieprogrammet:,Studiumkode,Nivåkode,Andel av heltid,Studiepoeng,Prosent egenfinansiering,NUS-kode,Organisering_kode,Andel praksis,Underv.språk"
Studentdata,62,Utvekslingsavtaler,0,0,0,"Utvekslingsavtale,beskrivelse,Sort"
Studentdata,93,Finansieringskilder (doktorgrader),0,0,0,"Finansieringskildekode,finkildenavn,sortid"
Studentdata,98,Kandidater med fullført program for kunstnerisk utviklingsarbeid (PKU),0,1,0,"Institusjonskode,Årstall,Institusjonsnavn,Antall"
Doktorgradsdata,100,Samarbeid om doktorgradsutdanning,0,1,1,"Årstall,Institusjonskode (arbeidsgiver),Institusjonskode (disputas),Antall totalt"
Doktorgradsdata,101,Avlagte doktorgrader (aggregert),0,1,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Kvalifikasjonskode,Studieprogramkode,Finansieringskildekode,Antall totalt,Antall kvinner,Antall menn"
Studentdata,104,Ferdige kandidater (aggregert),1,0,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Kvalifikasjonskode,Studieprogramkode,Antall totalt,Antall kvinner,Antall menn,-------------,Variabler fra studieprogrammet:,Studiumkode,Nivåkode,Andel av heltid,Studiepoeng,Prosent egenfinansiering,NUS-kode,Organisering_kode,Andel praksis,Underv.språk"
Studentdata,110,Nye studenter,1,0,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Studieprogramkode,Antall totalt,Antall kvinner,Antall menn,-------------,Variabler fra studieprogrammet:,Studiumkode,Nivåkode,Andel av heltid,Studiepoeng,Prosent egenfinansiering,NUS-kode,Organisering_kode,Andel praksis,Underv.språk"
Studentdata,112,Opptak,1,0,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Studieprogramkode,Antall totalt,Antall kvinner,Antall menn,-------------,Variabler fra studieprogrammet:,Studiumkode,Nivåkode,Andel av heltid,Studiepoeng,Prosent egenfinansiering,NUS-kode,Organisering_kode,Andel praksis,Underv.språk"
Doktorgradsdata,115,Personer i doktorgradsprogrammer (aggregert),1,1,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Studieprogramkode,Finansieringskildekode,Totalt antall personer med nye avtaler,Totalt antall kvinner med nye avtaler,Totalt antall menn med nye avtaler,Antall totalt,Antall kvinner,Antall menn"
Studentdata,118,Fullførte studieprogrammer (aggregert),1,0,1,"Institusjonskode,Avdelingskode,Årstall,Semester,Studieprogramkode,Antall totalt,Antall kvinner,Antall menn,-------------,Variabler fra studieprogrammet:,Studiumkode,Nivåkode,Andel av heltid,Studiepoeng,Prosent egenfinansiering,NUS-kode,Organisering_kode,Andel praksis,Underv.språk"
