Tabell id,Tabellnavn,Variabel navn,Datatype,Datalengde,Sortering,Kodefelt,Group by (forslag),Kommentar,GDPR
60,Studenter fordelt på alder,Alder,int,,6," "," ",,0
60,Studenter fordelt på alder,Andel av heltid,decimal,"3,2",34," ",J,,0
60,Studenter fordelt på alder,Andel praksis,decimal,"5,2",39," ",J,,0
60,Studenter fordelt på alder,Antall kvinner,int,,8," "," ",,0
60,Studenter fordelt på alder,Antall menn,int,,8," "," ",,0
60,Studenter fordelt på alder,Antall totalt,int,,7," "," ",,0
60,Studenter fordelt på alder,Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
60,Studenter fordelt på alder,Institusjonskode,char,4,1,J,J,,0
60,Studenter fordelt på alder,Nivåkode,char,10,33,J,J,,0
60,Studenter fordelt på alder,NUS-kode,char,10,37," ",J,NUS-kode tekst hentes fra SSB sine teksttabeller hos SSB.,0
60,Studenter fordelt på alder,Organisering_kode,int,,38,J,J,,0
60,Studenter fordelt på alder,Prosent egenfinansiering,decimal,,36," ",J,,0
60,Studenter fordelt på alder,Semester,int,,4,J," ",Kobling: 291-Semester,0
60,Studenter fordelt på alder,Studiepoeng,decimal,"5,2",35," ",J,,0
60,Studenter fordelt på alder,Studieprogramkode,char,12,5,J," ",Kobling: 347-Studieprogram,0
60,Studenter fordelt på alder,Studiumkode,char,12,32,J,J,,0
60,Studenter fordelt på alder,Underv.språk,char,3,40,J,J,,0
60,Studenter fordelt på alder,Årstall,int,,3," ",J,,0
62,Utvekslingsavtaler,beskrivelse,varchar,100,," "," ",,0
62,Utvekslingsavtaler,Sort,int,,," "," ",,0
62,Utvekslingsavtaler,Utvekslingsavtale,char,60,,J,J,,0
93,Finansieringskilder (doktorgrader),Finansieringskildekode,char,10,,J,J,Kobling: 93-Finansieringskilder (doktorgrader),0
93,Finansieringskilder (doktorgrader),finkildenavn,varchar,100,," ",J,,0
93,Finansieringskilder (doktorgrader),sortid,int,,," "," ",,0
98,Kandidater med fullført program for kunstnerisk utviklingsarbeid (PKU),Antall,smallint,,4," "," ",,0
98,Kandidater med fullført program for kunstnerisk utviklingsarbeid (PKU),Institusjonskode,char,4,1,J," ",,0
98,Kandidater med fullført program for kunstnerisk utviklingsarbeid (PKU),Institusjonsnavn,varchar,100,3," "," ",,0
98,Kandidater med fullført program for kunstnerisk utviklingsarbeid (PKU),Årstall,int,,2," "," ",,0
100,Samarbeid om doktorgradsutdanning,Antall totalt,int,,6," "," ",,0
100,Samarbeid om doktorgradsutdanning,Institusjonskode (arbeidsgiver),char,,2,J,J,Kobling: 211-Institusjon,0
100,Samarbeid om doktorgradsutdanning,Institusjonskode (disputas),char,,4,J,J,Kobling: 211-Institusjon,0
100,Samarbeid om doktorgradsutdanning,Årstall,int,,1," ",J,,0
101,Avlagte doktorgrader (aggregert),Antall kvinner,int,,9," "," ",,0
101,Avlagte doktorgrader (aggregert),Antall menn,int,,9," "," ",,0
101,Avlagte doktorgrader (aggregert),Antall totalt,int,,8," "," ",,0
101,Avlagte doktorgrader (aggregert),Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
101,Avlagte doktorgrader (aggregert),Finansieringskildekode,char,10,7,J," ",Kobling: 93-Finansieringskilder (doktorgrader),0
101,Avlagte doktorgrader (aggregert),Institusjonskode,char,4,1,J,J,,0
101,Avlagte doktorgrader (aggregert),Kvalifikasjonskode,char,20,5," "," ",,0
101,Avlagte doktorgrader (aggregert),Semester,int,,4,J," ",Kobling: 291-Semester,0
101,Avlagte doktorgrader (aggregert),Studieprogramkode,char,12,6,J," ",Kobling: 347-Studieprogram,0
101,Avlagte doktorgrader (aggregert),Årstall,int,,3," "," ",,0
104,Ferdige kandidater (aggregert),Andel av heltid,decimal,"3,2",34," ",J,,0
104,Ferdige kandidater (aggregert),Andel praksis,decimal,"5,2",39," ",J,,0
104,Ferdige kandidater (aggregert),Antall kvinner,int,,8," "," ",,0
104,Ferdige kandidater (aggregert),Antall menn,int,,8," "," ",,0
104,Ferdige kandidater (aggregert),Antall totalt,int,,7," "," ",,0
104,Ferdige kandidater (aggregert),Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
104,Ferdige kandidater (aggregert),Institusjonskode,char,4,1,J,J,,0
104,Ferdige kandidater (aggregert),Kvalifikasjonskode,char,20,5," "," ",,0
104,Ferdige kandidater (aggregert),Nivåkode,char,10,33,J,J,,0
104,Ferdige kandidater (aggregert),NUS-kode,char,10,37," ",J,NUS-kode tekst hentes fra SSB sine teksttabeller hos SSB.,0
104,Ferdige kandidater (aggregert),Organisering_kode,int,,38,J,J,,0
104,Ferdige kandidater (aggregert),Prosent egenfinansiering,decimal,,36," ",J,,0
104,Ferdige kandidater (aggregert),Semester,int,,4,J," ",Kobling: 291-Semester,0
104,Ferdige kandidater (aggregert),Studiepoeng,decimal,"5,2",35," ",J,,0
104,Ferdige kandidater (aggregert),Studieprogramkode,char,12,6,J," ",Kobling: 347-Studieprogram,0
104,Ferdige kandidater (aggregert),Studiumkode,char,12,32,J,J,,0
104,Ferdige kandidater (aggregert),Underv.språk,char,3,40,J,J,,0
104,Ferdige kandidater (aggregert),Årstall,int,,3," ",J,,0
110,Nye studenter,Andel av heltid,decimal,"3,2",34," ",J,,0
110,Nye studenter,Andel praksis,decimal,"5,2",39," ",J,,0
110,Nye studenter,Antall kvinner,int,,7," "," ",,0
110,Nye studenter,Antall menn,int,,7," "," ",,0
110,Nye studenter,Antall totalt,int,,6," "," ",,0
110,Nye studenter,Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
110,Nye studenter,Institusjonskode,char,4,1,J,J,,0
110,Nye studenter,Nivåkode,char,10,33,J,J,,0
110,Nye studenter,NUS-kode,char,10,37," ",J,NUS-kode tekst hentes fra SSB sine teksttabeller hos SSB.,0
110,Nye studenter,Organisering_kode,int,,38,J,J,,0
110,Nye studenter,Prosent egenfinansiering,decimal,,36," ",J,,0
110,Nye studenter,Semester,int,,4,J," ",Kobling: 291-Semester,0
110,Nye studenter,Studiepoeng,decimal,"5,2",35," ",J,,0
110,Nye studenter,Studieprogramkode,char,12,5,J," ",Kobling: 347-Studieprogram,0
110,Nye studenter,Studiumkode,char,12,32,J,J,,0
110,Nye studenter,Underv.språk,char,3,40,J,J,,0
110,Nye studenter,Årstall,int,,3," ",J,,0
112,Opptak,Andel av heltid,decimal,"3,2",34," ",J,,0
112,Opptak,Andel praksis,decimal,"5,2",39," ",J,,0
112,Opptak,Antall kvinner,int,,7," "," ",,0
112,Opptak,Antall menn,int,,7," "," ",,0
112,Opptak,Antall totalt,int,,6," "," ",,0
112,Opptak,Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
112,Opptak,Institusjonskode,char,4,1,J,J,,0
112,Opptak,Nivåkode,char,10,33,J,J,,0
112,Opptak,NUS-kode,char,10,37," ",J,NUS-kode tekst hentes fra SSB sine teksttabeller hos SSB.,0
112,Opptak,Organisering_kode,int,,38,J,J,,0
112,Opptak,Prosent egenfinansiering,decimal,,36," ",J,,0
112,Opptak,Semester,int,,4,J," ",Kobling: 291-Semester,0
112,Opptak,Studiepoeng,decimal,"5,2",35," ",J,,0
112,Opptak,Studieprogramkode,char,12,5,J," ",Kobling: 347-Studieprogram,0
112,Opptak,Studiumkode,char,12,32,J,J,,0
112,Opptak,Underv.språk,char,3,40,J,J,,0
112,Opptak,Årstall,int,,3," ",J,,0
115,Personer i doktorgradsprogrammer (aggregert),Antall kvinner,int,,11," "," ",,0
115,Personer i doktorgradsprogrammer (aggregert),Antall menn,int,,12," "," ",,0
115,Personer i doktorgradsprogrammer (aggregert),Antall totalt,int,,10," "," ",,0
115,Personer i doktorgradsprogrammer (aggregert),Avdelingskode,char,6,2,J,J,Kobling: 210-Avdeling,0
115,Personer i doktorgradsprogrammer (aggregert),Finansieringskildekode,char,10,6,J," ",Kobling: 93-Finansieringskilder (doktorgrader),0
115,Personer i doktorgradsprogrammer (aggregert),Institusjonskode,char,4,1,J,J,,0
