aar,inst,soKode,navn,studiested,studieplasser,nytt,avlyst,hovedomrade
2016,HIM,211164,Bedriftsøkonomi,Molde,30,False,False,Økonomi og administrasjon
2016,HIM,211292,Logistikk og Supply Chain Management,Molde,30,False,False,Økonomi og administrasjon
2016,HIM,211318,Regnskap og revisjon,Molde,30,False,False,Økonomi og administrasjon
2016,HIM,211369,Økonomi og administrasjon,Molde,60,False,False,Økonomi og administrasjon
2016,HIM,211841,Jus og administrasjon,Molde,30,False,False,"Samfunnsfag, psykologi"
2016,HIM,211866,Petroleumslogistikk,Kristiansund,30,False,False,Økonomi og administrasjon
2016,HINN-L,210035,Økonomi og administrasjon,Lillehammer,70,False,False,Økonomi og administrasjon
2016,HINN-L,210164,Økonomi og administrasjon,Lillehammer,20,False,False,Økonomi og administrasjon
2016,HINN-L,210485,Sport Management,Lillehammer,30,False,False,Økonomi og administrasjon
2016,HINN-L,210867,Organisasjon og ledelse,Lillehammer,70,False,False,Økonomi og administrasjon
2016,HISF,216368,Eiendomsmegling,Sogndal,35,False,False,Økonomi og administrasjon
2016,HISF,216369,Økonomi og administrasjon,Sogndal,55,False,False,Økonomi og administrasjon
2016,HISF,216526,Økonomi og jus,Sogndal,25,False,False,"Juridiske fag, rettsvitenskap, politi"
2016,HIØ,224035,Økonomi og administrasjon,Halden,85,False,False,Økonomi og administrasjon
2016,HIØ,224318,Regnskap og revisjon,Halden,40,False,False,Økonomi og administrasjon
2016,HIØ,224398,Bedriftsøkonomi,Halden,25,False,False,Økonomi og administrasjon
2016,HSH,218369,Økonomi og administrasjon,Haugesund,90,False,False,Økonomi og administrasjon
2016,HSH,218414,Økonomi og administrasjon,Haugesund,10,False,False,Økonomi og administrasjon
2016,HSN-T,220164,Bedriftsøkonomi,Bø,25,False,False,Økonomi og administrasjon
2016,HSN-T,220167,Bedriftsøkonomi,Porsgrunn,70,False,False,Økonomi og administrasjon
2016,HSN-T,220318,Revisjon og regnskap,Bø,30,False,False,Økonomi og administrasjon
2016,HSN-T,220359,Internasjonal markedsføring,Bø,40,False,False,Økonomi og administrasjon
2016,HSN-T,220368,Eiendomsmegling,Bø,50,False,False,Økonomi og administrasjon
2016,HSN-T,220369,Økonomi og administrasjon,Bø,65,False,False,Økonomi og administrasjon
2016,HSN-T,220895,Innovasjon og entreprenørskap,Bø,30,False,False,Økonomi og administrasjon
2016,HVL,203369,Økonomi og administrasjon,Bergen,90,False,False,Økonomi og administrasjon
2016,HVO,223452,Planlegging og administrasjon,Volda,15,False,False,Økonomi og administrasjon
2016,INN,209162,Organisasjon og ledelse,Rena,10,False,False,Økonomi og administrasjon
2016,INN,209164,Bedriftsøkonomi,Rena,10,False,False,Økonomi og administrasjon
2016,INN,209215,"Offentlig styring, ledelse og økonomi",Rena,30,False,False,Økonomi og administrasjon
2016,INN,209318,Regnskap og revisjon,Rena,25,False,False,Økonomi og administrasjon
2016,INN,209368,Eiendomsmegling,Rena,30,False,False,Økonomi og administrasjon
2016,INN,209369,Økonomi og administrasjon,Rena,30,False,False,Økonomi og administrasjon
2016,INN,209398,Bedriftsøkonomi,Hamar,60,False,False,Økonomi og administrasjon
2016,INN,209470,Serviceledelse og markedsføring,Rena,30,False,False,Økonomi og administrasjon
2016,INN,209476,Music Management,Rena,20,False,False,Økonomi og administrasjon
2016,INN,209664,Organisasjon og ledelse,Rena,70,False,False,Økonomi og administrasjon
2016,INN,209714,Musikkproduksjon,Rena,20,False,False,Økonomi og administrasjon
2016,INN,209867,Ledelse og organisasjonsutvikling,Rena,20,False,False,Økonomi og administrasjon
2016,NHH,191345,Siviløkonomutdanningen,Bergen,470,False,False,Økonomi og administrasjon
2016,NLA,254470,Økonomi og administrasjon,Oslo,25,False,False,Økonomi og administrasjon
2016,NLA,254895,Innovasjon og ledelse,Oslo,25,False,False,Økonomi og administrasjon
2016,NMBU,192199,Ettårig grunnstudium,Ås,30,False,False,"Samfunnsfag, psykologi"
2016,NMBU,192230,Eiendom,Ås,35,False,False,"Samfunnsfag, psykologi"
2016,NMBU,192233,Frie realfag,Ås,20,False,False,Matematikk og naturfag
2016,NMBU,192299,Bioteknologi,Ås,30,False,False,Matematikk og naturfag
2016,NMBU,192310,Landskapsingeniør,Ås,30,False,False,"Samfunnsfag, psykologi"
2016,NMBU,192321,Husdyrvitenskap,Ås,40,False,False,"Fiskeri-, husdyr- og landbruksfag"
2016,NMBU,192322,Skogfag,Ås,25,False,False,Matematikk og naturfag
2016,NMBU,192327,Biologi,Ås,30,False,False,Matematikk og naturfag
2016,NMBU,192332,Kjemi,Ås,20,False,False,Matematikk og naturfag
2016,NMBU,192369,Økonomi og administrasjon,Ås,100,False,False,Økonomi og administrasjon
2016,NMBU,192377,Miljø og naturressurser,Ås,20,False,False,Matematikk og naturfag
2016,NMBU,192388,Økologi og naturforvaltning,Ås,30,False,False,Matematikk og naturfag
2016,NMBU,192406,"Geomatikk: kart, satellitter og 3D-modellering",Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2016,NMBU,192468,Samfunnsøkonomi,Ås,25,False,False,Økonomi og administrasjon
2016,NMBU,192484,Internasjonale miljø- og utviklingsstudier,Ås,20,False,False,"Samfunnsfag, psykologi"
2016,NMBU,192504,Dyrepleie,Oslo,30,True,False,"Medisin, odontologi, helse- og sosialfag"
2016,NMBU,192732,Landskapsarkitektur,Ås,50,False,False,"Samfunnsfag, psykologi"
2016,NMBU,192759,Byggeteknikk og arkitektur,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2016,NMBU,192766,"Maskin-, prosess- og produktutvikling",Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
2016,NMBU,192767,Industriell økonomi,Ås,25,False,False,"Teknologi, ingeniørfag og arkitektur"
2016,NMBU,192772,Veterinærstudiet,Oslo,70,False,False,"Medisin, odontologi, helse- og sosialfag"
2016,NMBU,192783,Kjemi og bioteknologi,Ås,20,False,False,"Teknologi, ingeniørfag og arkitektur"
