Kvote;Lærested;Measure Names;Opptaksrunde;Studiekode;Studienavn;Studiested;Utdanningsområde og -type;År;Measure Values
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;45.7
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;781
Ordinær kvote;OSLOMET;Poenggrense;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;52.5
Ordinær kvote;OSLOMET;Søkere på venteliste;Hovedopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;1,574
Førstegangsvitnemålskvote;OSLOMET;Poenggrense;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;44.6
Førstegangsvitnemålskvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;332
Ordinær kvote;OSLOMET;Poenggrense;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;51.2
Ordinær kvote;OSLOMET;Søkere på venteliste;Suppleringsopptak;215 138;Administrasjon og ledelse i offentlig virksomhet;Oslo;ØKADM;2020;760
Førstegangsvitnemålskvote;INN;Poenggrense;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Søkere på venteliste;Hovedopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Poenggrense;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Søkere på venteliste;Suppleringsopptak;209 320;Agronomi;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Poenggrense;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;46.8
Ordinær kvote;INN;Søkere på venteliste;Hovedopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;10
Førstegangsvitnemålskvote;INN;Poenggrense;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Førstegangsvitnemålskvote;INN;Søkere på venteliste;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;0
Ordinær kvote;INN;Poenggrense;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;46.8
Ordinær kvote;INN;Søkere på venteliste;Suppleringsopptak;209 362;Agronomi, årsstudium;Hamar;LANDOGHAVBRUK;2020;6
Førstegangsvitnemålskvote;UIT;Poenggrense;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;50.5
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;39
Ordinær kvote;UIT;Poenggrense;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;54.1
Ordinær kvote;UIT;Søkere på venteliste;Hovedopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;53
Førstegangsvitnemålskvote;UIT;Poenggrense;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;50.5
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;18
Ordinær kvote;UIT;Poenggrense;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;54.1
Ordinær kvote;UIT;Søkere på venteliste;Suppleringsopptak;186 709;Akvamedisin;Tromsø;REALFAG;2020;26
Førstegangsvitnemålskvote;UIT;Poenggrense;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Ordinær kvote;UIT;Poenggrense;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Hovedopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIT;Poenggrense;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIT;Søkere på venteliste;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Ordinær kvote;UIT;Poenggrense;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Ordinær kvote;UIT;Søkere på venteliste;Suppleringsopptak;186 615;Allmenn litteraturvitenskap;Tromsø;SPRÅK;2020;0
Førstegangsvitnemålskvote;UIO;Poenggrense;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;41.2
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;17
Ordinær kvote;UIO;Poenggrense;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;55.9
Ordinær kvote;UIO;Søkere på venteliste;Hovedopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;166
Førstegangsvitnemålskvote;UIO;Poenggrense;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;41.2
Førstegangsvitnemålskvote;UIO;Søkere på venteliste;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;6
Ordinær kvote;UIO;Poenggrense;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;55.9
Ordinær kvote;UIO;Søkere på venteliste;Suppleringsopptak;185 615;Allmenn litteraturvitenskap, årsstudium;Oslo;SPRÅK;2020;79
Førstegangsvitnemålskvote;NTNU;Poenggrense;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;35.2
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;3
Ordinær kvote;NTNU;Poenggrense;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;49.4
Ordinær kvote;NTNU;Søkere på venteliste;Hovedopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;21
Førstegangsvitnemålskvote;NTNU;Poenggrense;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
Førstegangsvitnemålskvote;NTNU;Søkere på venteliste;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
Ordinær kvote;NTNU;Poenggrense;Suppleringsopptak;194 615;Allmenn litteraturvitenskap, årsstudium;Trondheim;SPRÅK;2020;0
