Studiekode;Studienavn;Kolonne1;Lærested;Studiested;Utdanningsområde og -type;Kvote;Opptaksrunde;År;Poenggrense;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
211627;Logistikk;;HIM;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;0;;
211627;Logistikk;;HIM;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;0;;
211627;Logistikk;;HIM;Molde;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
211627;Logistikk;;HIM;Molde;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;
217097;Økonomi og jus;;UIS;Stavanger;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;31,9;;
217097;Økonomi og jus;;UIS;Stavanger;ØKADM;Ordinær kvote;Hovedopptak;2026;59,2;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Ordinær kvote;Hovedopptak;2024;46;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;Oslo;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
254393;Bærekraftig entreprenørskap og innovasjon;;NLA;Oslo;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2022;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2021;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2022;0;;
186164;Bedriftsøkonomi, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2021;30,2;;
186164;Bedriftsøkonomi, deltid;;UIT;Alta;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2026;0;;
186164;Bedriftsøkonomi, deltid;;UIT;Alta;ØKADM;Ordinær kvote;Hovedopptak;2026;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2025;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2024;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2023;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2022;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Hovedopptak;2021;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2025;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2024;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2023;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2022;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Førstegangsvitnemålskvote;Suppleringsopptak;2021;0;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2025;46,2;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2024;47,3;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2023;46,7;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2022;40,2;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Hovedopptak;2021;45,6;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2025;46,2;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2024;47,3;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2023;46,7;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2022;40,2;;
186664;Ledelse, deltid;;UIT;;ØKADM;Ordinær kvote;Suppleringsopptak;2021;44,5;;
