;;;;;;;;Semester;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Høst 2025;Sum høst;;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;Vår 2025;;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;;Bokstav;Tall;;
;;;;;;;;Antallet studenter med vurdering i emnet;48;52;45;17;31;22;71;27;19;14;44;42;15;13;18;37;32;29;43;10;19;18;;;5;28;12;9;7;33;5;29;14;20;14;28;67;4;9;9;6;17;;27;1;2;2;27;2;29;69;1;6;1;2;9;2;;A;5;;
;;;;;;;;Studiepoeng emne;10;10;5;5;5;10;10;5;10;10;5;10;10;10;10;10;5;10;10;5;10;10;;;10;10;10;5;10;5;10;10;10;10;5;10;5;10;10;10;5;10;;10;5;5;10;10;5;10;10;10;10;10;10;10;10;;B;4;;Antall emner
Studieprogram;studentnr;;;;karakter;Tallkarakter master;;Emnekode;AOS325;AOS337;AOS340;BUS211;BUS234;BUS313;BUS315;BUS316;BUS322;BUS325;BUS328;BUS329;BUS338;BUS340;ECN201;ECN280;ECN320;ECN372;ECN380;INN200;INN354;INN360;;;BUS210;BUS215;BUS220;BUS234;BUS260;BUS311;BUS313;BUS323;BUS325;BUS335;BUS336;BUS340;BUS360;ECN271;ECN280;ECN375;INN351;INN365;;AOS325;BUS180;BUS211;BUS220;BUS313;BUS316;BUS322;BUS335;BUS340;ECN201;ECN215;ECN311;ECN372;INN341;;C;3;;
M-ØA;1;;;1;A;5;;;;B;A;;;;;C;;;;;;;;;;;;;;;;;;;;;;;;;; ;;B;B;;;;;D;;C;;;;C;;;B;;;;;;; 3,47 ;D;2;;10
M-ØA;2;;;2;A;5;;;;;;;;;F; ; ;;E;D;;;;;;;;;;;;;;;;;;B;;B; ;;;;B;;;;;;;;;;;;;E;C;;;;;;; 2,23 ;E;1;;11
M-ØA;3;;;3;B;4;;;F;B;D;;;C;;;;;;;;;;;;;;;;;;;;;;;;A;;;;;;;B;;;;;;;;;;;;;;B;; ;;;D;; 2,85 ;F;0;;9
M-ØA;4;;;4;B;4;;;;;;;;;E;;;;C;C;;;;;;;;;;;;;;B;;;;;;B;; ;;;B;;;;;;;;;;;;;D;B;;;;;;; 3,07 ;;;;9
M-ØA;5;;;5;B;4;;;;;A;;;;;;;;;;;;;;;;;B;;B;;;;;;;;;;;;;;;C;;;;;;;;;;;;;;B;;;;;;A; 4,22 ;;;;6
M-ØA;6;;;6;B;4;;;;;;;;;A;;;;D;B;;;;;;;;;;;;;;;;;;;;C;;;B;;B;;;;;;;;;;;;;D;B;;;;;;; 3,54 ;;;;8
M-ØA;7;;;7;B;4;;;;;;;;;C;;;;A;B;;;;;;;;;;;;;;;;;;A;;B;;;;;B;;;;;;;;;;;;;C;A;;;;;;; 4,00 ;;;;8
