Emne;Studiested (kort);Studiested (fullt navn);Emnekode (kilde);Emnekode brukt hos Karakterweb;Offisielt emnenavn;År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Finansregnskap;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);sreg160;sreg160;Videregående regnskap;2025;Vår;83;A-F;2.71;9.6;3;14;26;22;10;8;;;
Økonomistyring;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);srev220;srev220;Økonomistyring;2025;Høst;115;A-F;3.35;8.7;27;29;18;16;15;10;;;
Investering og finansiering;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);sbed200;sbed200;Investering og finansiering;2025;Vår;97;A-F;3.17;11.3;15;16;31;17;7;11;;;
Markedsføring;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);smar100;smar100;Markedsføring;2025;Høst;110;A-F;3.24;0;18;25;37;25;5;0;;;
Organisasjon og ledelse;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);sorg100;sorg100;Organisasjonsforståelse;2025;Høst;355;G-H;;6.5;;;;;;;332;23;
Foretaksstrategi;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);sled300;sled300;Strategi;2025;Høst;95;A-F;4.23;0;52;18;20;5;0;0;;;
Mikroøkonomi;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);ssam120;ssam120;Mikroøkonomi;2025;Vår;124;A-F;2.56;12.9;8;20;26;24;30;16;;;
Makroøkonomi;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);ssam100;ssam100;Makroøkonomi;2025;Vår;106;A-F;3.95;0;32;50;16;3;5;0;;;
Matematikk for økonomer;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);smet120;smet120;Matematikk for økonomer;2025;Høst;192;A-F;3.82;4.7;55;64;44;16;4;9;;;
Statistikk for økonomer;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);smet130;smet130;Statistikk for økonomer;2025;Vår;123;A-F;3.91;4.1;35;55;15;8;5;5;;;
Samfunnsvitenskapelig metode;INN;Høgskolen i Innlandet (digital bachelor BAØKAH);smet200;smet200;Samfunnsvitenskapelig metode;2025;Høst;97;A-F;3.69;0;27;24;35;11;0;0;;;
Finansregnskap;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1505;bed-1002nett;Grunnleggende regnskap og analyse;2023;Vår;296;A-F;2.88;18.2;19;58;86;34;45;54;;;
Finansregnskap;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1505;bed-1002nett;Grunnleggende regnskap og analyse;2024;Vår;380;A-F;2.37;23.9;31;31;58;63;106;91;;;
Finansregnskap;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1505;bed-1002nett;Grunnleggende regnskap og analyse;2025;Vår;394;A-F;3.62;10.2;124;83;76;32;39;40;;;
Økonomistyring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2504;bed-2019nett;Driftsregnskap og budsjettering;2023;Vår;233;A-F;2.98;23.6;43;32;27;30;46;55;;;
Økonomistyring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2504;bed-2019nett;Driftsregnskap og budsjettering;2024;Vår;264;A-F;3.09;19.7;50;43;37;41;41;52;;;
Økonomistyring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2504;bed-2019nett;Driftsregnskap og budsjettering;2025;Vår;261;A-F;3.22;24.1;62;29;38;29;40;63;;;
Investering og finansiering;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2503;bed-2503 (+ bed-2020nett);Investering og finansiering;2023;Høst;166;A-F;2.31;9.0;6;15;40;49;41;15;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2020nett erstattet av bed-2503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2020nett, 2025 fra bed-2503.
Investering og finansiering;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2503;bed-2503 (+ bed-2020nett);Investering og finansiering;2024;Høst;250;A-F;2.57;11.2;18;33;55;68;48;28;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2020nett erstattet av bed-2503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2020nett, 2025 fra bed-2503.
Investering og finansiering;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2503;bed-2503 (+ bed-2020nett);Investering og finansiering;2025;Høst;179;A-F;2.23;16.8;11;15;25;45;53;30;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2020nett erstattet av bed-2503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2020nett, 2025 fra bed-2503.
Organisasjon og ledelse;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2502;bed-2502 (+ bed-2029nett);Organisasjonsteori og ledelse;2023;Høst;739;A-F;3.31;0.9;98;217;262;123;32;7;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2029nett erstattet av bed-2502, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2029nett, 2025 fra bed-2502. Et parallelt 2025-emnekode (bed-2302, 180 kand.) fantes også - bed-2502 (476 kand.) er valgt som størst og i tråd med brukerens kildekode.
Organisasjon og ledelse;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2502;bed-2502 (+ bed-2029nett);Organisasjonsteori og ledelse;2024;Høst;613;A-F;3.05;2.0;67;137;210;133;54;12;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2029nett erstattet av bed-2502, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2029nett, 2025 fra bed-2502. Et parallelt 2025-emnekode (bed-2302, 180 kand.) fantes også - bed-2502 (476 kand.) er valgt som størst og i tråd med brukerens kildekode.
Organisasjon og ledelse;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2502;bed-2502 (+ bed-2029nett);Organisasjonsteori og ledelse;2025;Høst;476;A-F;3.09;5.2;39;137;136;103;36;25;;;UiT renummererte emnet i 2025 (gammel nettkode bed-2029nett erstattet av bed-2502, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-2029nett, 2025 fra bed-2502. Et parallelt 2025-emnekode (bed-2302, 180 kand.) fantes også - bed-2502 (476 kand.) er valgt som størst og i tråd med brukerens kildekode.
Markedsføring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1503;bed-1503 (+ bed-1004nett);Markedsføring;2023;Høst;718;A-F;2.97;3.1;43;142;299;172;40;22;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1004nett erstattet av bed-1503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-1004nett, 2025 fra bed-1503.
Markedsføring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1503;bed-1503 (+ bed-1004nett);Markedsføring;2024;Høst;623;A-F;2.97;1.9;28;157;241;141;44;12;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1004nett erstattet av bed-1503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-1004nett, 2025 fra bed-1503.
Markedsføring;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-1503;bed-1503 (+ bed-1004nett);Markedsføring;2025;Høst;606;A-F;2.92;3.5;48;126;213;130;68;21;;;UiT renummererte emnet i 2025 (gammel nettkode bed-1004nett erstattet av bed-1503, jf. brukerens egen emnekode fra studiekatalogen). Data 2023-2024 fra bed-1004nett, 2025 fra bed-1503.
Foretaksstrategi;UiT;UiT Norges arktiske universitet (nettbasert bachelor);BED-2705;bed-2003nett;Foretaksstrategi;2023;Vår;266;A-F;3.27;1.9;7;98;126;19;11;5;;;"Emnekode BED-2705 fra kildelisten fantes ikke; bed-2003nett (nettbasert-varianten av Foretaksstrategi) brukt i stedet."
