NTNU Gjøvik;;;;;;;;;;;NTNU Ålesund;;;;;;;;;
Emnekode (lenke);Emnenavn;Semester;Kandidater;A;B;C;D;E;F;;Emnekode;Emnenavn;Semester;Kandidater;A;B;C;D;E;F
SMF1197;Finansregnskap med analyse;V 2025;113;11;13;9;28;28;24;;AE101308;Finansregnskap med analyse;V 2025;98;16;12;16;15;18;21
SMF2293;Driftsregnskap med budsjettering;H 2025;114;6;8;12;27;18;43;;AE101124;Økonomisk styring I;H 2025;157;7;37;40;36;3;35
SMF2296;Investering og finansiering;V 2025;76;9;5;3;8;10;41;;AE201115;Investering og finansiering;V 2025;51;15;14;7;6;0;9
SMF1196;Markedsføring - grunnkurs;H 2025;73;4;14;21;20;10;4;;AM101108;Markedsføring - grunnkurs;H 2025;125;7;13;48;39;18;0
SMF1193;Organisasjon og ledelse;H 2025;129;35;32;32;20;7;3;;AL101115;Organisasjon og ledelse;H 2025;153;9;30;41;35;19;19
SMF2281;Foretaksstrategi;V 2025;65;11;9;29;16;0;0;;AL201308;Foretaksstrategi;V 2025;95;11;68;16;0;0;0
SMF2295;Makroøkonomi;H 2025;96;8;12;39;13;20;4;;AE101408;Makroøkonomi;H 2025;82;3;12;23;10;25;9
SMF2291;Mikroøkonomi;V 2025;75;3;8;7;13;24;20;;AE201615;Mikroøkonomi;V 2025;83;8;9;11;15;16;24
REA1153;Matematikk for økonomer;H 2025;102;6;12;16;12;18;38;;AR100919;Matematikk for økonomer;H 2025;118;6;17;23;16;27;29
REA1154;Statistikk for økonomer;V 2025;123;12;11;17;19;30;34;;AR100219;Statistikk for økonomer;V 2025;113;11;11;13;15;16;47
SMF2292;Kvantitative og kvalitative metoder;V 2025;60;5;3;19;7;13;13;;AM201306;Kvantitative og kvalitative metoder;V 2025;107;5;12;27;24;22;17
;;;;;;;;;;;;;;;;;;;;
