Emne;Studiested (kort);Studiested (fullt navn);Emnekode;Offisielt emnenavn (Karakterweb);År;Semester (ordinær);Kandidater;Karakterskala;Snittkarakter (A=5..F=0);Strykprosent;A;B;C;D;E;F;Bestått;Ikke bestått;Merknad
Finansregnskap;BI;Handelshøyskolen BI;bøk35325;Finansregnsk. & regnsk.analyse;2025;Høst;1729;A-F;2.6;19.8;67;224;480;314;302;342;;;Emnekode i kildefila fantes ikke direkte hos Karakterweb (BI deler emner i nummererte seksjoner). Brukt seksjon 'bøk35325' (flest deltakere, bokstavkarakter A-F), bekreftet manuelt av bruker for Finansregnskap.
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2023;Høst;140;A-F;2.97;20.0;13;24;39;19;17;28;;;
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2024;Høst;181;A-F;2.88;11.6;18;36;46;29;31;21;;;
Finansregnskap;HIØ;Høgskolen i Østfold;SFB10419;Finansregnskap med analyse 1;2025;Høst;151;A-F;3.04;17.2;17;28;40;23;17;26;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2023;Vår;302;A-F;2.93;14.9;28;49;89;60;31;45;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2024;Vår;313;A-F;3.11;23.6;45;51;63;46;34;74;;;
Finansregnskap;HVL;Høgskulen på Vestlandet;BØA117;Finansregnskap med analyse;2025;Vår;277;A-F;3.22;23.5;43;54;51;34;30;65;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2023;Høst;244;A-F;2.3;32.4;6;20;38;54;47;79;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2024;Høst;233;A-F;2.73;21.9;19;41;40;36;46;51;;;
Finansregnskap;HiMolde;Høgskolen i Molde;BØK105;Finansregnskap 1;2025;Høst;233;A-F;2.58;14.2;19;33;43;55;50;33;;;
Finansregnskap;INN Lillh;Høgskolen i Innlandet (Lillehammer);ØKA1012;Grunnleggende regnskap;2025;Høst;111;A-F;2.54;45.1;5;15;9;11;21;50;;;
Finansregnskap;INN Rena;Høgskolen i Innlandet (Rena);3REV100;Grunnleggende regnskap;2025;Høst;68;A-F;3.46;20.6;10;19;15;6;4;14;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2023;Vår;122;A-F;2.96;19.7;15;23;21;21;18;24;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2024;Vår;123;A-F;2.36;23.6;6;14;20;22;32;29;;;
Finansregnskap;Kristiania;Høyskolen Kristiania;FRG3101;Finansregnskap;2025;Vår;121;A-F;2.36;26.5;6;11;19;26;27;32;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2023;Høst;471;A-F;3.15;7.0;59;114;140;85;40;33;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2024;Høst;473;A-F;3.28;4.2;66;131;155;68;33;20;;;
Finansregnskap;NHH;Norges Handelshøyskole;BED2;Finansregnskap;2025;Høst;404;A-F;3.34;7.4;67;107;116;53;31;30;;;
Finansregnskap;NLA;NLA Høgskolen;HSM124;Finansregnskap og regnskapsanalyse;2024;Vår;212;A-F;2.08;48.6;6;6;23;30;44;103;;;
Finansregnskap;NLA;NLA Høgskolen;HSM124;Finansregnskap og regnskapsanalyse;2025;Vår;398;A-F;2.49;50.5;10;29;63;41;54;201;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2023;Vår;182;A-F;2.23;13.2;6;21;28;52;51;24;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2024;Vår;188;A-F;2.98;12.2;21;35;54;29;26;23;;;
Finansregnskap;NMBU;Norges miljø- og biovitenskapelige universitet (NMBU);BUS110;Finansregnskap og regnskapsanalyse;2025;Vår;244;A-F;2.63;18.9;14;28;61;60;35;46;;;
