Institusjon;Studie- kode;Studienavn;Studie- sted;Utdannings- type;Nøkkeltall;2021;2022;2023;2024;2025;2026;Opptaksgrense 2026 førstegangsvitnemål;Opptaksgrense ordinær kvote
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Alle søkere;560;458;354;479;474;470;0;0
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Førstevalgssøkere;97;91;64;89;69;79;0;0
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Studieplasser;60;60;60;60;60;60;0;0
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);53,6 %;47,3 %;59,4 %;39,3 %;44,9 %;36,7 %;0;0
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Antall kvalifiserte;500;412;317;419;423;427;0;0
Høgskolen i Molde, Vitenskaplig høgskole i logistikk;211369;Økonomi og administrasjon;Molde;Økonomisk-administrative fag;Antall tilbud;160;126;101;128;139;128;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Alle søkere;923;746;752;858;776;755;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Førstevalgssøkere;144;127;122;147;126;159;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Studieplasser;85;80;75;75;90;90;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);40,3 %;37,8 %;36,9 %;27,2 %;34,9 %;38,4 %;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Antall kvalifiserte;833;666;663;728;665;646;0;0
Høgskolen i Østfold;224035;Økonomi og administrasjon;Halden;Økonomisk-administrative fag;Antall tilbud;172;162;172;241;193;239;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Alle søkere;;;;;276;290;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Førstevalgssøkere;;;;;36;42;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Studieplasser;;;;;20;20;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;;30,6 %;57,1 %;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Antall kvalifiserte;;;;;238;256;0;0
Høgskolen i Østfold;224369;Økonomi og administrasjon , deltid;Halden;Økonomisk-administrative fag;Antall tilbud;;;;;85;82;0;0
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Alle søkere;3147;2813;2938;3359;3580;3629;51,3;55,8
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;622;580;632;738;752;789;51,3;55,8
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Studieplasser;165;145;124;124;114;114;51,3;55,8
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);40,4 %;43,3 %;41,6 %;44,6 %;46,4 %;48,0 %;51,3;55,8
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;3046;2729;2825;3224;3452;3501;51,3;55,8
Høgskulen på Vestlandet;203369;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall tilbud;325;350;260;340;244;320;51,3;55,8
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Alle søkere;726;598;476;541;564;613;33,3;28,7
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Førstevalgssøkere;125;111;86;88;114;112;33,3;28,7
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Studieplasser;97;92;80;80;80;80;33,3;28,7
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);48,8 %;55,0 %;51,2 %;47,7 %;46,5 %;56,2 %;33,3;28,7
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Antall kvalifiserte;651;537;418;493;489;549;33,3;28,7
Høgskulen på Vestlandet;203404;Økonomi og administrasjon, Haugesund;Haugesund;Økonomisk-administrative fag;Antall tilbud;236;189;160;182;173;215;33,3;28,7
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Alle søkere;517;446;381;432;465;487;0;0
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Førstevalgssøkere;77;65;62;54;63;66;0;0
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Studieplasser;55;50;50;50;50;60;0;0
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);40,3 %;33,8 %;30,6 %;31,5 %;41,3 %;31,8 %;0;0
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Antall kvalifiserte;481;402;344;406;435;445;0;0
Høgskulen på Vestlandet;203515;Økonomi og administrasjon, Sogndal;Sogndal;Økonomisk-administrative fag;Antall tilbud;126;119;122;115;132;142;0;0
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Alle søkere;536;636;652;545;610;605;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere;31;32;37;40;38;38;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Studieplasser;25;30;38;35;25;25;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);25,8 %;18,8 %;54,1 %;25,0 %;23,7 %;23,7 %;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Antall kvalifiserte;493;577;548;481;548;538;36,2;32,5
NLA Høgskolen;254035;Økonomi og administrasjon, Kristiansand;Kristiansand;Økonomisk-administrative fag;Antall tilbud;120;150;130;150;150;150;36,2;32,5
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Alle søkere;1626;1696;1892;1760;1753;1737;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Førstevalgssøkere;133;168;156;136;158;160;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Studieplasser;45;50;76;70;70;70;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);29,3 %;39,3 %;32,1 %;30,1 %;24,7 %;26,9 %;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Antall kvalifiserte;1512;1567;1683;1582;1550;1533;38,9;40,4
NLA Høgskolen;254470;Økonomi og administrasjon, Oslo;Oslo;Økonomisk-administrative fag;Antall tilbud;220;230;360;350;360;360;38,9;40,4
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Alle søkere;;;;1445;1504;1610;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere;;;;124;102;117;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Studieplasser;;;;20;25;25;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Førstevalgssøkere (kvinner);;;;27,4 %;40,2 %;36,8 %;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall kvalifiserte;;;;1332;1435;1524;46,4;47,5
NLA Høgskolen;254515;Økonomi og administrasjon, Bergen;Bergen;Økonomisk-administrative fag;Antall tilbud;;;;160;160;180;46,4;47,5
