;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;M-ØA ;Master økonomi og administrasjon;Uteksaminert våren 2025, tatt opp høsten 2023;;;Snittkarakter masteroppgaver;4,13253012;Gjennomsnitt 3. semester;3,311904762;Gjennomsnitt 2. semester;3,457222222;Gjennomsnitt 1. semester;3,255263158;Gjennomsnitt emner før masteroppgave (90 stp);3,351875137;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;M-BIOEC;Master bioøkonomi;Uteksaminert våren 2025, tatt opp høsten 2023;;;Snittkarakter masteroppgaver;4,107142857;Gjennomsnitt emner 3. semester;3,49122807;Gjennomsnitt emner 2 semester;3,985119048;Gjennomsnitt emner 1. semester;3,941666667;Gjennomsnitt emner før masteroppgave (90 stp);3,910289116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;M-EI;Master entreprenørskap og innovasjon;Uteksaminert våren 2025, tatt opp høsten 2023;;;Snittkarakter masteroppgaver;3,75;Gjennomsnitt emner 3 semester;3,476666667;;;Gjennomsnitt emner 1. semester;4,034210526;Gjennomsnitt emner før masteroppgave (90 stp);3,781626984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;M-ECON;Master samfunnsøkonomi;Uteksaminert våren 2025, tatt opp høsten 2023;;;Snittkarakter masteroppgaver;4,166666667;Gjennomsnitt emner 3 semester;3,369791667;Gjennomsnitt emner 2 semester;3,314792769;Gjennomsnitt emner 1. semester;3,225044563;Gjennomsnitt emner før masteroppgave (90 stp);3,24293592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Semester;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Høst 2024;Sum høst 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Vår 2024;Sum vår 2024;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Høst 2023;Sum høst 2023;;Endelig snitt;Karaktergivende emner
;;;;;;;;;;Antallet studenter med vurdering i emnet;3;15;18;3;12;1;2;22;24;25;10;22;2;13;19;8;30;5;2;1;3;5;;1;1;1;8;1;2;6;8;6;3;1;43;29;10;31;6;66;4;4;11;2;1;7;19;;1;12;2;2;1;22;26;72;2;13;1;1;5;7;5;1;;;;
;;;;;;;;;;Studiepoeng emne;10;10;5;5;10;10;5;10;10;5;10;5;5;10;10;10;10;10;10;10;10;10;;5;10;10;10;7,5;10;10;10;5;5;5;5;10;5;10;5;5;5;10;10;10;10;10;5;;5;10;5;5;10;10;10;10;10;10;10;10;10;10;10;5;;;;
Studieprogram;Studentnummer;;;;Opptakssnitt (snitt fra bachelorgrad) kjerne eller 180 stp;Studiested for bachelorgrad;Bokstavkarakter masteroppgave;Tallkarakter masteroppgave;;Emne;AOS325;AOS337;AOS340;BUS211;BUS214;BUS215;BUS234;BUS313;BUS315;BUS316;BUS322;BUS326;BUS328;BUS332;BUS335;BUS338;BUS340;ECN201;ECN230;ECN372;ECN380;INN360;;AOS130;AOS236;AOS325;AOS335;BUS113-B;BUS210;BUS215;BUS230;BUS234;BUS238;BUS255;BUS311;BUS323;BUS327;BUS332;BUS336;BUS360;ECN263;ECN271;ECN280;ECN301;ECN352;ECN375;INN351;;AOS240;AOS325;BUS133;BUS211;BUS215;BUS313;BUS322;BUS335;BUS340;ECN201;ECN230;ECN311;ECN330;ECN372;INN341;INN353;;;;
M-ØA;201;;;;4,12;NMBU;B;4;;;;B;C;;;;;B;;;;;;;;;;;;;;;3,8;;;;;;;;;;;;;;;;;B;;;;;;;;4;;B;;;;;;C;;;;;;;;;3,5;;3,7;6
M-ØA;202;;;;3,85;NMBU;B;4;;;;;;;;;;;;;;;;;C;D;;;;;;;2,5;;;;;0;;;;;;;A;;;;0;;;;;;;;A;5;;;;;;;;;;;;;;;;;;;3,333333333;6
M-ØA;203;;;;3,58;OsloMet + NMBU;B;4;;;;;;;;;;A;C;;0;C;;0;;;;;;;;;3,8;;;;;;;;;;;;B;B;;D;;C;;;;;;;;3,166666667;;;;;;;C;B;;;;;;;;;3,5;;3,466666667;11
M-ØA;204;;;;3,25;BI;B;4;;;;;;;;;;;;D;;;;C;;;C;;;;;;2,8;;;;;;;;;;;;B;;;F;;C;;C;;;;;;2,166666667;;;;;;B;;C;;;;;;;;;3,5;;2,733333333;9
M-ØA;205;;;;4,1;HiV;A;5;;;;;;0;;;;;;;;;;;B;;;;;;;;4;;;;;;;;;;;;;;;;;B;;;B;;;B;;4;;;;;;;;;;C;;;;A;;;4;;4;7
M-ØA;206;;;;3,54;NMBU;B;4;;;;B;C;;;;;D;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;D;;;;;;;;2;;C;;;;;;C;;;;;;;;;3;;2,9;6
M-ØA;207;;;; ; ;C;3;;;;;;;;D;;;F;0;B;D;C;;D;;;;;;0;;2,1;;;;;;;F;;0;0;;A;B;;;;C;;;;;;;B;2,857142857;;;;;;;0;D;;;;;;;;;2;;2,368421053;17
M-ØA;208;;;;3,25;NTNU;B;4;;;;;;;;;;;D;;;;;0;;;D;;;;;;2;;;;;;;;;;;;A;B;;E;;C;;;;;;;;3;;;0;;;;D;B;;;;;;;;;3;;2,714285714;10
M-ØA;209;;;;3,27;BI;A;5;;;;B;B;;;;;F;;;;;;;D;;;;;;;;2,285714286;;;C;B;;;;;;;;B;;A;;;D;;;;;;;;3,571428571;;F;;;;;;F;;;;;;;;;0;;2,277777778;11
M-ØA;210;;;;3,64;NMBU;B;4;;;;;A;;;;;;;;;;;;;;;;;;;A;5;;;;;;;;;;;;;;;;;B;;;;;;;;4;;;;;;;;C;;;;;;;B;;3,5;;4,125;5
M-ØA;211;;;;3,76;UiA;C;3;;;;;;;;;;;;A;;;;;;;B;;;;;;4,333333333;;A;;;;;;;;;;A;;;C;;A;;;;;;;;4,333333333;;;B;;;A;;A;;;;;;;;;4,8;;4,5;9
M-ØA;212;;;;3,53;BI;A;5;;;;;A;;;;;B;;;;;;;;;;;;;;A;4,6;;;;;;;;;;;;;;;;;D;;;;;;;;2;;;;;;;;A;;;;;;;B;;4,5;;4,3;6
M-ØA;213;;;;3,33;NMBU;B;4;;;;;;;;;;;;C;;;;;;;C;;;;;;3;;;;;;;0;;;;;B;;;C;;C;;;;;;;B;3,4;;;;;;A;;B;;;;;;;;;4,5;;3,666666667;9
M-ØA;214;;;;4,44;Høyskolen Kristiania;A;5;;;;;;;B;;;;;A;;;;;;;A;;;;;;4,6;;;;;;;B;;;;;A;;;C;;B;;;;;;;;3,833333333;;;;;;A;;A;;;;;;;;;5;;4,4;9
M-ØA;215;;;;3,25;Høyskolen Kristiania;C;3;;;;;;;;;;;;E;F;;;C;E;;F;;;;;;1;;;;;;;;;E;;;A;;;F;;F;;;;;;;;1,2;;;;;;A;;E;;;;;;;;;3;;1,5;11
M-ØA;216;;;;3,8;NMBU;A;5;;;;;;;;;;;;;;;;;B;C;;;;;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;A;5;;;;;;;;;;;;;;;;;;;3,8;3
